LocationID	LocationName	Organisation_name	ZIP	adress_town	adress_street	adress_number	state	country	coordinates_east	coordinates_north	dcpLatitude	dcpLongitude	connected_towns	connected_people_2018	total_population	note	report_category
ATTP_1-00000036	Kläranlage Mischendorf	Gemeinde Mischendorf	7511.0	Mischendorf	Hauptplatz	1	Burgenland	Austria	628293.0851	369602.056	47.18622676	16.34646273	Kohfidisch, Mischendorf	3140.0	2984.0		general; alps
ATTP_1-00000040	Kläranlage Neufeld	Wasserverband Neufelderseen-Gebiet	2491.0	Neufeld an der Leitha	Landeggerstraße	11-39	Burgenland	Austria	628087.1946	446934.3645	47.88155229	16.38376828	Hornstein, Neufeld an der Leitha, Steinbrunn, Ebenfurth, Eggendorf, Zillingdorf	19522.0	19280.0		general; alps
ATTP_1-00000044	Kläranlage Oberpullendorf	Abwasserverband Mittleres Burgenland	7350.0	Oberpullendorf	Rottwiese	67	Burgenland	Austria	640610.8705	403746.7545	47.48878169	16.52740329	Sieggraben, Kaisersdorf, Kobersdorf, Markt Sankt Martin, Neutal, Oberpullendorf, Stoob, Weppersdorf, Schwarzenbach, Wiesmath	13596.0	14887.0		general; alps
ATTP_1-00000050	Kläranlage Riedlingsdorf	Abwasserverband Oberes Pinkatal	7422.0	Riedlingsdorf	Oberwarterstraße	96	Burgenland	Austria	612742.8133	384860.9618	47.32866678	16.14864662	Pinkafeld, Riedlingsdorf, Wiesfleck, Friedberg, Pinggau, Schäffern	14500.0	15765.0		general; alps
ATTP_1-00000051	Kläranlage Podersdorf	Marktgemeinde Podersdorf	7141.0	Podersdorf am See	Hauptstraße	2	Burgenland	Austria	662200.3113	446387.2894	47.86370218	16.83920367	Podersdorf am See	2100.0	2126.0		general; alps
ATTP_1-00000055	Kläranlage Rechnitz	Marktgemeinde Rechnitz	7471.0	Rechnitz	Hauptplatz	10	Burgenland	Austria	635875.3413	382727.3401	47.30154332	16.45340332	Rechnitz	3250.0	3010.0		general; alps
ATTP_1-00000057	Kläranlage AWV Rotenturm	Abwasserverband Rotenturm	7501.0	Rotenturm an der Pinka	Steinamangerer Straße	15	Burgenland	Austria	622858.4213	376898.833	47.25370564	16.27843123	Unterwart, Bad Tatzmannsdorf, Oberwart, Rotenturm an der Pinka, Oberschützen, Mariasdorf	13561.0	15145.0		general; alps
ATTP_1-00000060	Kläranlage Schandorf	Abwasserverband Schachendorf-Schandorf	7472.0	Schachendorf	Schachendorf	218	Burgenland	Austria	633592.3274	375567.267	47.23798982	16.41947227	Schachendorf, Schandorf	1100.0	1026.0		general; alps
ATTP_1-00000064	Kläranlage Bocksdorf	Abwasserverband Oberes Stremtal	7551.0	Bocksdorf	Sportgasse	42	Burgenland	Austria	616119.7591	363799.1815	47.13817811	16.183097	Bocksdorf, Ollersdorf im Burgenland, Stegersbach, Stitz, Hackerberg, Wörterberg, Kemeten, Litzelsdorf	9028.0	9153.0		general; alps
ATTP_1-00000066	Kläranlage Sankt Andrä	Marktgemeinde Sankt Andrä am Zicksee	7161.0	Sankt Andrä am Zicksee	Hauptstraße	59	Burgenland	Austria	668605.4926	437926.953	47.78503892	16.91953152	Sankt Andrä am Zicksee	2000.0	1386.0		general; alps
ATTP_1-00000074	EMREG_BE_Wasserverband Wulkatal	Wasserverband Wulkatal	7041.0	Wulkaprodersdorf	Wulkawiesen	11	Burgenland	Austria	638428.1363	438345.6842	47.80061659	16.51725031	Klingenbach, Sankt Margarethen im Burgenland, Siegendorf, Steinbrunn, Wulkaprodersdorf, Zillingtal, Zagersdorf, Draßburg, Forchtenstein, Hirm, Loipersbach im Burgenland, Marz, Mattersburg, Pöttelsdorf, Pöttsching, Rohrbach bei Mattersburg, Bad Sauerbrunn, Sigleß, Wiesen, Antau, Baumgarten, Zemendorf-Stöttera, Krensdorf	50000.0	45194.0		general; alps
ATTP_1-00000077	Zentralkläranlage Pamhagen	Abwasserverband Seewinkel	7152.0	Pamhagen	Zentralkläranlage	1	Burgenland	Austria	665465.0628	430587.4542	47.72036936	16.87319418	Apetlon, Illmitz, Pamhagen, Wallern im Burgenland	8500.0	7400.0		general; alps
ATTP_1-00000078	Kläranlage Nickelsdorf	Gemeinde Nickelsdorf	2425.0	Nickelsdorf	Obere Hauptstraße	3	Burgenland	Austria	680459.7388	456259.4109	47.94475319	17.08940874	Nickelsdorf, Zurndorf	3900.0	4067.0		general; alps
ATTP_1-00000079	Kläranlage Glasing	Abwasserverband Mittleres Strem-und Zickenbachtal	7540.0	Güssing	Glasing	95	Burgenland	Austria	630304.8454	354281.5984	47.04777713	16.36511437	Tobaj, Kukmirn, Sankt Michael im Burgenland, Güssing, Gerersdorf-Sulz, Güttenbach, Neuberg im Burgenland, Olbendorf, Inzenhof, Tschanigraben, Heugraben, Rohr im Burgenland, Rauchwart, Oberdorf im Burgenland	15543.0	14757.0		general; alps
ATTP_1-00000081	Kläranlage Wolfau	Abwasserverband Stögersbachtal	7412.0	Wolfau	Sportplatzgasse	7	Burgenland	Austria	608743.7387	376359.1022	47.25350786	16.09176712	Grafenschachen, Loipersdorf-Kitzladen, Markt Allhau, Wolfau, Neustift an der Lafnitz	6006.0	6622.0		general; alps
ATTP_1-00000093	Kläranlage Lutzmannsburg	Gemeindeverband Lutzmannsburg-Frankeu-Unterpullendorf	7361.0	Lutzmannsburg	Kläranlage	0	Burgenland	Austria	650839.2957	400524.5665	47.45595797	16.66122331	Frankeu-Unterpullendorf, Lutzmannsburg	4500.0	1979.0		general; alps
ATTP_1-00000097	Kläranlage Neumarkt	Abwasserverband Tauchental	7503.0	Großpetersdorf	Hauptstraße	36	Burgenland	Austria	624217.6035	380331.8131	47.28410775	16.29810897	Bernstein, Mariasdorf, Oberschützen, Stadtschlaining, Unterkohlstätten, Weiden bei Rechnitz	6598.0	9472.0		general; alps
ATTP_1-00000103	Kläranlage Burg	Abwasserverband Tauchental	7503.0	Großpetersdorf	Hauptstraße	36	Burgenland	Austria	633267.0563	371838.8284	47.20458465	16.4132283	Großpetersdorf, Hannersdorf, Badersdorf	3378.0	4576.0		general; alps
ATTP_1-00000110	Kläranlage Tadten	Gemeinde Tadten	7162.0	Tadten	Obere Hauptstraße	1	Burgenland	Austria	674945.5287	435972.1928	47.76481124	17.0028413	Tadten	1450.0	1189.0		general; alps
ATTP_1-00000111	Kläranlage Kleinzicken	Abwasserverband Tauchental	7503.0	Großpetersdorf	Hauptstraße	36	Burgenland	Austria	626710.7891	371950.0963	47.20788772	16.32678692	Großpetersdorf, Jabing	2026.0	4270.0		general; alps
ATTP_1-00000112	Kläranlage Halbturn	Gemeinde Halbturn	7131.0	Halbturn	Wiener Straße	3	Burgenland	Austria	674329.5747	446070.3231	47.85582228	17.00098409	Halbturn	2000.0	1922.0		general; alps
ATTP_1-00000133	EMREG_BE_AWV Bezirk Jennersdorf	Abwasserverband Bezirk Jennersdorf	7561.0	Heiligenkreuz im Lafnitztal	Industriegelände	2	Burgenland	Austria	622532.5797	344879.1117	46.96591433	16.25821944	Loipersdorf-Kitzladen, Fehring, Burgau, Burgauberg-Neudauberg, Kukmirn, Neustift bei Güssing, Eltendorf, Heiligenkreuz im Lafnitztal, Jennersdorf, Minihof-Liebau, Mogersdorf, Rudersdorf, Sankt Martin an der Raab, Weichselbaum, Königsdorf, Mühlgraben, Unterlamm	33000.0	29078.0		general; alps
ATTP_1-00000145	Kläranlage RHV Neusiedlersee-Westufer	Reinhaltungsverband Region Neusiedler See - Westufer	7081.0	Schützen am Gebirge	Pappelwiesen	1	Burgenland	Austria	647951.5244	445133.632	47.85805403	16.64816525	Rust, Breitenbrunn am Neusiedler See, Donnerskirchen, Mörbisch am See, Oggau am Neusiedler See, Oslip, Purbach am Neusiedler See, Schützen am Gebirge, Winden am See	16037.0	16525.0		general; alps
ATTP_1-00000153	Kläranlage Hochneukirchen	Marktgemeinde Hochneukirchen-Gschaidt	2852.0	Hochneukirchen	Hauptstraße	26	Burgenland	Austria	616743.9835	395442.5721	47.4224958	16.2067339	Hochneukirchen-Gschaidt	1160.0	1635.0		general; alps
ATTP_1-W1	Kläranlage Wimpassing	Gemeinde Wimpassing an der Leitha	2485.0	Wimpassing an der Leitha	Hauptstraße	8	Burgenland	Austria	631863.9452	452027.3537	47.92599189	16.43695538	Pottendorf, Wimpassing an der Leitha, Ebenfurth	2177.0	11933.0		general; alps
ATTP_2-K1518811R0	WV Abwasserverband Völkermarkt-Jaunfeld (ARA Eberndorf)	Abwasserverband Völkermarkt-Jaunfeld	9125.0	Kohldorf	Kohldorf	77	Carinthia	Austria	501128.0045	305324.0315	46.63991772	14.65381399	Eberndorf	30000.0	5874.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1543752R0	ABKM ABKM-Abwasserbeseitigung Kötschach-Mauthen Errichtung und B	ABKM ABKM-Abwasserbeseitigung Kötschach-Mauthen Errichtung und B	9640.0	Kötschach-Mauthen	Kötschach	390	Carinthia	Austria	375729.4919	307855.605	46.66993523	13.01540951	Kötschach-Mauthen	2806.0	3359.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1608259R0	Marktgemeinde Hüttenberg	Marktgemeinde Hüttenberg	9375.0	Hüttenberg	Reiftanzplatz	1	Carinthia	Austria	492536.3987	337240.8539	46.92831968	14.54809285	Hüttenberg	1300.0	1388.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1610301R0	WV Abwasserverband Raum Friesach-Althofen	WV Abwasserverband Raum Friesach-Althofen	9330.0	Althofen	Mölbling	1	Carinthia	Austria	485616.1517	329634.4244	46.86082001	14.45576941	Althofen, Friesach	15000.0	9602.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt; KGZ manuell ergaenzt	general; alps
ATTP_2-K1610676R0	Reinhalteverband für das Gebiet St. Veit/Glan	Reinhalteverband für das Gebiet St. Veit/Glan	9300.0	St. Veit an der Glan	Hauptplatz	1	Carinthia	Austria	480428.0273	316129.5914	46.7399691	14.38532704	Maria Saal, Liebenfels, St. Georgen am Längsee, St. Veit an der Glan, Frauenstein, Glanegg	27000.0	28754.0		general; alps
ATTP_2-K1620535R0	WV Reinhalteverband Mölltal	Reinhalteverband Mölltal	9821.0	Stallhofen	Stallhofen	70	Carinthia	Austria	391156.1767	335530.3339	46.91934005	13.21649411	Stall, Mallnitz, Obervellach, Flattach	8400.0	5717.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1639918R0	Gemeinde Heiligenblut	Gemeinde Heiligenblut	9844.0	Hof	Hof	4	Carinthia	Austria	364582.4648	346301.8612	47.0153537	12.86667341	Heiligenblut am Großglockner	1100.0	1010.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1669675R0	Gemeinde Ferndorf	Gemeinde Ferndorf	9702.0	Ferndorf	Ferndorf	22	Carinthia	Austria	423397.6887	313759.9864	46.72311199	13.63878145	Ferndorf	3500.0	2122.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1672421R0	Marktgemeinde Eisenkappel-Vellach	Marktgemeinde Eisenkappel-Vellach	9135.0	Bad Eisenkappel	Bad Eisenkappel	260	Carinthia	Austria	495629.8969	290915.7276	46.51110896	14.57898744	Eisenkappel-Vellach	1528.0	2291.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1679698R0	Marktgemeinde Griffen	Marktgemeinde Griffen	9112.0	Griffen	Hauptplatz	1	Carinthia	Austria	507852.9124	312016.9372	46.6990688	14.74323455	Griffen	2750.0	3444.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1702940R0	"Reinhalteverband ""Mittleres Lavanttal"""	Reinhalteverband Mittleres Lavanttal	9433.0	Unterrain	Unterrain	63	Carinthia	Austria	515629.9264	316360.7627	46.73683342	14.84602767	Wolfsberg, St. Andrä, Frantschach-St. Gertraud	40500.0	37486.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1702958R0	"Abwasserverband ""Oberes Lavanttal"""	Abwasserverband Oberes Lavanttal	9441.0	Twimberg	Twimberg	54	Carinthia	Austria	513929.0363	338108.9101	46.93277887	14.82924043	Bad St. Leonhard im Lavanttal	7675.0	4377.0	"ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt; KGZ manuell ergaenzt; ang_Katastralgemeinden =  
77017 geaendert in 77017"	general; alps
ATTP_2-K1720229R0	Gemeinde Albeck	Gemeinde Albeck	9571.0	Albeck	Sirnitz	1	Carinthia	Austria	456692.8439	325345.4998	46.82534513	14.07583994	Albeck	584.0	988.0		general; alps
ATTP_2-K1750774R0	Gemeinde St. Kanzian am Klopeinersee	Gemeinde St. Kanzian am Klopeinersee	9122.0	St. Kanzian am Klopeiner See	Klopeinerstraße	5	Carinthia	Austria	495996.704	303090.4317	46.62058597	14.58631977	St. Kanzian am Klopeiner See	7350.0	4452.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1756402R0	Gemeinde Krems in Kärnten	Gemeinde Krems in Kärnten	9861.0	Eisentratten	Eisentratten	35	Carinthia	Austria	428601.4754	341956.4201	46.97661311	13.70863533	Krems in Kärnten	70.0	1663.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1762568R0	Marktgemeinde Winklern	Marktgemeinde Winklern	9841.0	Winklern	Winklern	9	Carinthia	Austria	366478.2451	329111.7871	46.86078288	12.8929038	Winklern	1152.0	1207.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1822227R0	Wasserverband Unteres Drautal	Wasserverband Unteres Drautal	9721.0	Gummern	Ferndorfer Str.	1	Carinthia	Austria	430318.8746	308075.2559	46.67168387	13.72896093	Paternion, Weißenstein	6321.0	8757.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1822657R0	WV Abwasserverband Völkermarkt-Jaunfeld (ARA Taich)	Abwasserverband Völkermarkt-Jaunfeld	9125.0	Kohldorf	Kohldorf	77	Carinthia	Austria	493348.6626	303307.9398	46.62292083	14.55178788	Völkermarkt	1490.0	10889.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; KGZ manuell ergaenzt	general; alps
ATTP_2-K1842816R0	Marktgemeinde Lavamünd	Marktgemeinde Lavamünd	9473.0	Lavamünd	Lavamünd	65	Carinthia	Austria	525767.3147	303287.9457	46.61738336	14.97506135	Neuhaus	2500.0	1034.0		general; alps
ATTP_2-K1843518R0	ABUG-Abwasserbeseitigung Unteres Gailtal Errichtungs- und Betrieb	ABUG-Abwasserbeseitigung Unteres Gailtal Errichtungs- und Betrieb	9611.0	Nötsch im Gailtal	Nötsch im Gailtal	310	Carinthia	Austria	421963.8886	297990.7202	46.58127375	13.61927002	Nötsch im Gailtal	4015.0	2251.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1859107R0	WV Abwasserverband Völkermarkt-Jaunfeld (ARA Gallizien)	Abwasserverband Völkermarkt-Jaunfeld	9125.0	Kohldorf	Kohldorf	77	Carinthia	Austria	489844.5134	297191.8366	46.56838013	14.50482939	Gallizien	1638.0	1743.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1928170	Gemeinde Ruden	Gemeinde Ruden	9113.0	Ruden	Obermitterdorf	30	Carinthia	Austria	515234.3651	308345.8055	46.66479911	14.83882343	Ruden	1336.0	1523.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1931629	ARA Klagenfurt	Landeshauptstadt Klagenfurt	9020.0	Klagenfurt	Neuer Platz	1	Carinthia	Austria	476674.3787	301198.9783	46.60608342	14.33369434	Klagenfurt am Wörthersee	135000.0	100817.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1933251	ARA Irschen	Gemeinde Irschen	9773.0	Irschen	Irschen	41	Carinthia	Austria	376415.3374	315554.3428	46.73923137	13.02396981	Irschen	1900.0	1975.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1933309	Gemeinde Großkirchheim	Gemeinde Großkirchheim	9843.0	Großkirchheim	Döllach	47	Carinthia	Austria	367026.3785	338972.0558	46.9495306	12.8993669	Großkirchheim	1333.0	1327.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1933909	Marktemeinde Poggersdorf	Marktgemeinde Poggersdorf	9130.0	Poggersdorf	Hauptplatz	1	Carinthia	Austria	483727.6421	305294.5079	46.64207796	14.42651862	Grafenstein, Magdalensberg	5000.0	6395.0		general; alps
ATTP_2-K1939137	WV Ossiacher See	Wasserverband Ossiacher See	9560.0	Feldkirchen in Kärnten	Rabensdorf	45	Carinthia	Austria	457261.0177	312763.5017	46.71209093	14.08170529	Stadl-Predlitz, Moosburg, Steindorf am Ossiacher See, Steuerberg, Feldkirchen in Kärnten, Gnesau, Himmelberg, Reichenau, St. Urban	23500.0	32470.0		general; alps
ATTP_2-K1939997	ARA Stadt Villach	Magistrat Villach	9500.0	Villach	Rathausplatz	1	Carinthia	Austria	441700.8675	301513.422	46.61202786	13.87713878	Villach	89063.0	62243.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1943810	Gemeinde Rennweg	Marktgemeinde Rennweg am Katschberg	9863.0	Rennweg	Rennweg	51	Carinthia	Austria	422021.4957	343307.6719	46.98902224	13.62219864	Rennweg am Katschberg	1538.0	1747.0		general; alps
ATTP_2-K1944050	Abwasserverband Wörthersee West	Abwasserverband Wörthersee West	9232.0	Rosegg	Wasserweg	1	Carinthia	Austria	452987.2088	297288.7493	46.57321371	14.02400866	Velden am Wörther See, Wernberg, St. Jakob im Rosental, Rosegg	23600.0	20579.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1949374	WV Millstätter See	Wasserverband Millstättersee	9871.0	Seeboden	Gritschacher Straße	4	Carinthia	Austria	414229.0316	320007.2496	46.77958114	13.51901161	Seeboden am Millstätter See, Millstatt am See, Spittal an der Drau, Radenthein, Bad Kleinkirchheim, Feld am See, Afritz am See, Ferndorf	55000.0	37445.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1949430	Abwasserverband Karnische Region	Abwasserverband Karnische Region	9620.0	Hermagor	Wulfeniaplatz	1	Carinthia	Austria	412138.3612	301191.418	46.6103218	13.49113691	Hermagor-Pressegger See, Kirchbach, Gitschtal	11100.0	10709.0		general; alps
ATTP_2-K1950728	Marktgemeinde Gemeinde Feistritz/Rosental	Marktgemeinde Feistritz im Rosental	9181.0	Feistritz im Rosental	Hauptplatz	126	Carinthia	Austria	466796.2348	293068.6308	46.53400096	14.2035545	Feistritz im Rosental	2600.0	2498.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1950736	Stadtgemeinde Ferlach	Stadtgemeinde Ferlach	9170.0	Ferlach	Kirchgasse	5	Carinthia	Austria	474534.1327	294105.9683	46.54251147	14.30460068	Ferlach	6650.0	7105.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1950740	Marktgemeinde Grafenstein	Marktgemeinde Grafenstein	9131.0	Grafenstein	ÖR-Valentin-Deutschmann-Platz	1	Carinthia	Austria	488537.3277	301186.6131	46.60449556	14.48855036	Grafenstein	1871.0	2918.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K1950745	Gemeinde Ludmannsdorf	Gemeinde Ludmannsdorf	9072.0	Ludmannsdorf	Ludmannsdorf	33	Carinthia	Austria	465718.5572	293561.6633	46.53854419	14.18957536	Ludmannsdorf	1600.0	1782.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K2307771	WV Abwasserverband Görtschitztal	Abwasserverband Görtschitztal	9372.0	Eberstein	Unterer Platz	1	Carinthia	Austria	491742.6878	316097.3943	46.73820786	14.53339051	Eberstein	7340.0	1251.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K2391503	LARA Dellach im Drautal	Gemeinde Dellach im Drautal	9772.0	Dellach im Drautal	Dellach	197	Carinthia	Austria	382175.053	315434.1386	46.73833288	13.09935697	Dellach im Drautal	2751.0	1598.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_2-K2391520	Steinfeld	Marktgemeinde Steinfeld	9754.0	Steinfeld	Schönfeldstraße	23	Carinthia	Austria	394516.6808	317236.4738	46.75477293	13.2608577	Steinfeld	5467.0	2020.0	ang_Politische.Gemeinden UND ang_Katastralgemeinden leer; GKZ manuell ergaenzt	general; alps
ATTP_3-10	ARA Hollabrunn	Stadtgemeinde Hollabrunn	2020.0	Hollabrunn	Hauptplatz	1	Lower Austria	Austria	602252.6016	520156.8064	48.54842101	16.0729555	Hollabrunn	11688.0	11798.0		general; alps
ATTP_3-1022	ARA Guntramsdorf	Marktgemeinde Guntramsdorf	2353.0	Guntramsdorf	Rathaus Viertel	1/1	Lower Austria	Austria	623619.0901	464612.4806	48.04203439	16.33317324	Guntramsdorf, Traiskirchen	9187.0	28108.0		general; alps
ATTP_3-1029	ARA Lassee	Marktgemeinde Lassee	2291.0	Lassee	Obere Hauptstraße	4	Lower Austria	Austria	659680.4893	485156.7867	48.21314555	16.82883933	Lassee	2249.0	2848.0		general; alps
ATTP_3-104	ARA GAV Amstetten	Gemeindeabwasserverband Amstetten	3300.0	Amstetten	Doislau	60	Lower Austria	Austria	516406.5291	468869.9723	48.10859959	14.8962601	Waidhofen an der Thaya, Euratsfeld, Neuhofen an der Ybbs, Amstetten, Winklarn, Viehdorf, Oed-Oehling, Aschbach-Markt, Allhartsberg, Sonntagberg, Kematen an der Ybbs, Biberbach	40712.0	54550.0		general; alps
ATTP_3-1041	ARA EVN Wasser (GAV Senningbach)	evn wasser Gesellschaft m.b.H.	2344.0	Maria Enzersdorf	EVN Platz	1	Lower Austria	Austria	614876.4527	510651.2582	48.4588604	16.23903921	Niederhollabrunn, Großmugl	2835.0	3139.0		general; alps
ATTP_3-105	ARA GAV Raum St. Andrä-Wördern	Gemeindeabwasserverband Raum St. Andrä-Wördern	3423.0	St. Andrä - Wördern	Altgasse	30	Lower Austria	Austria	613662.0593	497474.2584	48.34082308	16.2160251	St. Andrä-Wördern, Muckendorf-Wipfing, Zeiselmauer-Wolfpassing	11297.0	11805.0		general; alps
ATTP_3-1050	ARA GAV Laaer Becken	Gemeindeabwasserverband Laaer Becken	2136.0	Laa an der Thaya	Stadtplatz	43	Lower Austria	Austria	624952.5737	541369.6047	48.73146613	16.39152632	Gaubitsch, Staatz, Fallbach, Laa an der Thaya, Unterstinkenbrunn	9656.0	10433.0		general; alps
ATTP_3-106	ARA GAV Wagram - West	Gemeindeabwasserverband Wagram - West	3484.0	Grafenwörth	Mühlplatz	1	Lower Austria	Austria	582666.8358	502933.7813	48.39948811	15.80036673	Fels am Wagram, Grafenwörth	5380.0	5527.0		general; alps
ATTP_3-107	ARA Atzenbrugg	Marktgemeinde Atzenbrugg	3452.0	Atzenbrugg	Wachauer Straße	5	Lower Austria	Austria	591370.1532	491277.6944	48.29215665	15.91264495	Atzenbrugg	2881.0	3043.0		general; alps
ATTP_3-108	ARA GAV Wieselburg	Gemeindeabwasserverband Wieselburg	3250.0	Wieselburg	Hauptplatz	26	Lower Austria	Austria	535464.8859	472585.2531	48.1382885	15.1533544	Bergland, Petzenkirchen, Wieselburg-Land, Wieselburg	8359.0	10891.0		general; alps
